"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"87","W;","126450;","Enchelyopus cimbrius",1,"2008Q4","TVS"
"88","W;","126426;","Engraulis encrasicolus",1,"2014Q4","TVS"
"89","W;T;","126436;164712;","Gadus morhua",40,"2018Q4","TVS"
"90","W;","127136;","Glyptocephalus cynoglossus",17,"2018Q4","TVS"
"91","W;","127138;","Hippoglossus hippoglossus",2,"2015Q1","TVS"
"92","W;","126756;","Hyperoplus lanceolatus",1,"2012Q1","TVS"
"93","T;W;","172881;127139;","Limanda limanda",22,"2018Q4","TVS"
"94","W;","126555;","Lophius piscatorius",1,"2017Q4","TVS"
"95","W;","126437;","Melanogrammus aeglefinus",8,"2015Q4","TVS"
"96","W;","126438;","Merlangius merlangus",16,"2018Q4","TVS"
"97","W;","126484;","Merluccius merluccius",10,"2016Q4","TVS"
"98","W;","127140;","Microstomus kitt",1,"2014Q4","TVS"
"99","W;","127203;","Myoxocephalus scorpius",1,"2012Q1","TVS"
"100","W;","126736;","Osmerus eperlanus",1,"2012Q1","TVS"
"101","W;","151353;","Perca fluviatilis",1,"2012Q1","TVS"
"102","T;W;","172894;127141;","Platichthys flesus",38,"2018Q4","TVS"
"103","T;W;","172902;127143;","Pleuronectes platessa",40,"2018Q4","TVS"
"104","W;","126440;","Pollachius pollachius",1,"2016Q4","TVS"
"105","W;","126441;","Pollachius virens",6,"2018Q1","TVS"
"106","T;W;","616195;154473;","Psetta maxima",18,"2009Q4","TVS"
"107","W;","151308;","Sander lucioperca",1,"2012Q1","TVS"
"108","W;T;","127149;172748;","Scophthalmus maximus",18,"2018Q4","TVS"
"109","T;W;","172749;127150;","Scophthalmus rhombus",20,"2018Q4","TVS"
"110","W;","127160;","Solea solea",30,"2018Q4","TVS"
"111","T;","173001;","Solea vulgaris",6,"2003Q4","TVS"
"112","T;W;","161789;126425;","Sprattus sprattus",5,"2007Q1","TVS"
"113","W;","126444;","Trisopterus esmarkii",3,"2014Q4","TVS"
