"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"66","T;W;","161722;126417;","Clupea harengus",56,"2018Q3","GOV"
"67","W;","11709;","Coleoidea",3,"2006Q3","GOV"
"68","W;","125589;","Cottidae",1,"2008Q3","GOV"
"69","W;","127235;","Cottunculus microps",1,"2006Q3","GOV"
"70","W;","126878;","Crystallogobius linearis",1,"2018Q3","GOV"
"71","W;","127214;","Cyclopterus lumpus",4,"2009Q3","GOV"
"72","T;W;","170317;126975;","Dicentrarchus labrax",2,"2011Q1","GOV"
"73","W;","105762;","Dipturus",1,"2017Q3","GOV"
"74","W;","105869;","Dipturus batis",1,"2013Q3","GOV"
"75","W;","711847;","Dipturus flossada",2,"2018Q3","GOV"
"76","W;","711846;","Dipturus intermedius",3,"2018Q3","GOV"
"77","W;","105872;","Dipturus oxyrinchus",1,"2004Q3","GOV"
"78","W;","150629;","Echiichthys",1,"2011Q3","GOV"
"79","W;","150630;","Echiichthys vipera",1,"2010Q3","GOV"
"80","W;","126663;","Echiodon drummondii",3,"2007Q3","GOV"
"81","W;","140600;","Eledone cirrhosa",7,"2018Q3","GOV"
"82","T;W;","164748;126450;","Enchelyopus cimbrius",7,"2018Q3","GOV"
"83","W;","126426;","Engraulis encrasicolus",6,"2012Q1","GOV"
"84","W;","127379;","Entelurus aequoreus",8,"2008Q1","GOV"
"85","W;","105913;","Etmopterus spinax",4,"2015Q3","GOV"
"86","W;","150636;","Eutrigla",1,"2018Q3","GOV"
"87","T;W;","167044;150637;","Eutrigla gurnardus",11,"2009Q1","GOV"
"88","T;W;","164772;126435;","Gadiculus argenteus",12,"2009Q3","GOV"
"89","T;W;","164712;126436;","Gadus morhua",56,"2018Q3","GOV"
"90","W;","126451;","Gaidropsarus argentatus",1,"2016Q3","GOV"
"91","W;","126456;","Gaidropsarus macrophthalmus",1,"2005Q1","GOV"
"92","W;","126458;","Gaidropsarus vulgaris",1,"2018Q3","GOV"
"93","W;","105820;","Galeorhinus galeus",2,"2006Q1","GOV"
"94","W;","105812;","Galeus melastomus",10,"2018Q3","GOV"
"95","W;","127136;","Glyptocephalus cynoglossus",30,"2018Q3","GOV"
"96","W;","125537;","Gobiidae",4,"2017Q3","GOV"
"97","W;","138036;","Gonatus",1,"2006Q3","GOV"
"98","W;","126754;","Gymnammodytes semisquamatus",1,"2010Q3","GOV"
"99","W;","127251;","Helicolenus dactylopterus",4,"2018Q3","GOV"
"100","T;W;","172933;127138;","Hippoglossus hippoglossus",15,"2011Q3","GOV"
"101","W;","127137;","Hippoglossus platessoides",12,"2009Q3","GOV"
"102","W;","107253;","Homarus gammarus",1,"2018Q3","GOV"
"103","W;","126755;","Hyperoplus immaculatus",1,"2011Q3","GOV"
"104","T;W;","171682;126756;","Hyperoplus lanceolatus",3,"2016Q3","GOV"
"105","W;","140621;","Illex coindetii",7,"2018Q3","GOV"
"106","W;","105841;","Lamna nasus",1,"2014Q3","GOV"
"107","W;","127145;","Lepidorhombus boscii",1,"2016Q1","GOV"
"108","W;","127146;","Lepidorhombus whiffiagonis",12,"2009Q3","GOV"
"109","W;","127072;","Leptoclinus maculatus",1,"2015Q3","GOV"
"110","W;","105873;","Leucoraja circularis",1,"2016Q3","GOV"
"111","W;","105874;","Leucoraja fullonica",3,"2017Q3","GOV"
"112","W;","105876;","Leucoraja naevus",15,"2018Q3","GOV"
"113","T;W;","172881;127139;","Limanda limanda",12,"2009Q3","GOV"
"114","W;","127219;","Liparis liparis",1,"2016Q1","GOV"
"115","W;","107205;","Lithodes maja",11,"2018Q3","GOV"
"116","W;","106737;","Lithodidae",1,"2016Q3","GOV"
"117","W;","126980;","Liza ramada",1,"2011Q3","GOV"
"118","W;","138139;","Loligo",7,"2018Q3","GOV"
"119","W;","416668;","Loligo forbesi",1,"2011Q3","GOV"
"120","W;","140270;","Loligo forbesii",1,"2017Q3","GOV"
"121","W;","140271;","Loligo vulgaris",1,"2010Q3","GOV"
"122","W;","125493;","Lophiidae",1,"2004Q3","GOV"
"123","W;","126554;","Lophius budegassa",5,"2018Q3","GOV"
"124","T;W;","164501;126555;","Lophius piscatorius",31,"2018Q3","GOV"
"125","W;","154675;","Lumpenus lampretaeformis",3,"2018Q3","GOV"
"126","W;","126104;","Lycodes",1,"2004Q1","GOV"
"127","W;","274100;","Lycodes gracilis",3,"2006Q3","GOV"
"128","W;","127118;","Lycodes vahlii",1,"2011Q3","GOV"
"129","W;","127378;","Macroramphosus scolopax",1,"2009Q1","GOV"
"130","W;","127312;","Maurolicus muelleri",7,"2018Q3","GOV"
"131","T;W;","164744;126437;","Melanogrammus aeglefinus",56,"2018Q3","GOV"
"132","T;W;","164758;126438;","Merlangius merlangus",56,"2018Q3","GOV"
"133","T;W;","164795;126484;","Merluccius merluccius",30,"2018Q3","GOV"
"134","W;","274304;","Microchirus variegatus",1,"2011Q3","GOV"
"135","T;W;","164774;126439;","Micromesistius poutassou",15,"2018Q3","GOV"
"136","W;T;","127140;172888;","Microstomus kitt",30,"2018Q3","GOV"
"137","W;","126459;","Molva dypterygia",1,"2018Q3","GOV"
"138","T;W;","164760;126461;","Molva molva",12,"2009Q3","GOV"
"139","W;","126985;","Mullus barbatus",1,"2008Q3","GOV"
"140","W;T;","126986;169418;","Mullus surmuletus",20,"2018Q3","GOV"
"141","W;","105732;","Mustelus",1,"2018Q1","GOV"
"142","W;","105821;","Mustelus asterias",11,"2018Q3","GOV"
"143","W;","105822;","Mustelus mustelus",1,"2015Q1","GOV"
"144","T;W;","167318;127203;","Myoxocephalus scorpius",1,"2018Q3","GOV"
"145","W;","101170;","Myxine glutinosa",7,"2018Q3","GOV"
"146","W;","107254;","Nephrops norvegicus",11,"2018Q3","GOV"
"147","W;","127385;","Nerophis ophidion",1,"2004Q1","GOV"
"148","W;","11718;","Octopoda",10,"2009Q1","GOV"
"149","W;","11760;","Ommastrephidae",2,"2016Q1","GOV"
"150","W;","140712;","Pecten maximus",1,"2011Q3","GOV"
"151","W;","101174;","Petromyzon marinus",1,"2006Q3","GOV"
"152","W;","126996;","Pholis gunnellus",1,"2011Q3","GOV"
"153","W;","126501;","Phycis blennoides",3,"2016Q3","GOV"
"154","W;","127141;","Platichthys flesus",2,"2012Q1","GOV"
"155","T;W;","172902;127143;","Pleuronectes platessa",36,"2018Q3","GOV"
"156","T;W;","164728;126440;","Pollachius pollachius",8,"2018Q3","GOV"
"157","T;W;","164727;126441;","Pollachius virens",54,"2018Q3","GOV"
"158","W;","125999;","Pomatoschistus",1,"2012Q3","GOV"
"159","W;","126928;","Pomatoschistus minutus",1,"2015Q3","GOV"
"160","W;","126929;","Pomatoschistus norvegicus",3,"2018Q3","GOV"
"161","T;","616195;","Psetta maxima",1,"2002Q1","GOV"
"162","W;","367297;","Raja brachyura",3,"2013Q1","GOV"
"163","W;","105883;","Raja clavata",5,"2016Q3","GOV"
"164","W;","105887;","Raja montagui",15,"2018Q3","GOV"
"165","W;","105894;","Rajella fyllae",1,"2016Q3","GOV"
"166","W;","138481;","Rossia",1,"2018Q3","GOV"
"167","W;","141449;","Rossia macrosoma",7,"2018Q3","GOV"
"168","W;","153083;","Rossia palperbrosa",3,"2017Q3","GOV"
"169","W;","126421;","Sardina pilcharsdus",8,"2012Q3","GOV"
"170","T;W;","172414;127023;","Scomber scombrus",56,"2018Q3","GOV"
"171","W;","127149;","Scophthalmus maximus",30,"2018Q3","GOV"
"172","T;W;","172749;127150;","Scophthalmus rhombus",21,"2018Q3","GOV"
"173","W;","105814;","Scyliorhinus canicula",17,"2018Q3","GOV"
"174","W;","105815;","Scyliorhinus stellaris",1,"2007Q3","GOV"
"175","W;","151324;","Sebastes norvegicus",1,"2011Q3","GOV"
"176","W;","127255;","Sebastes vivparus",9,"2008Q1","GOV"
"177","W;","138477;","Sepia",1,"2009Q1","GOV"
"178","W;","141443;","Sepia elegans",3,"2016Q3","GOV"
"179","W;","141444;","Sepia officinalis",1,"2017Q1","GOV"
"180","W;","138482;","Sepietta",5,"2017Q1","GOV"
"181","W;","141450;","Sepietta neglecta",2,"2014Q3","GOV"
"182","W;","141452;","Sepietta oweniana",1,"2014Q1","GOV"
"183","W;","138483;","Sepiola",4,"2018Q3","GOV"
"184","W;","141457;","Sepiola ligulata",1,"2014Q1","GOV"
"185","W;","494117;","Sepiola tridens",1,"2014Q1","GOV"
"186","W;","11725;","Sepiolidae",1,"2017Q1","GOV"
"187","W;T;","127160;173002;","Solea solea",26,"2018Q3","GOV"
"188","T;","173001;","Solea vulgaris",1,"2005Q3","GOV"
"189","T;W;","161789;126425;","Sprattus sprattus",56,"2018Q3","GOV"
"190","W;","105923;","Squalus acanthias",11,"2018Q3","GOV"
"191","W;","125566;","Stichaeidae",1,"2004Q1","GOV"
"192","W;","127389;","Syngnathus rostellatus",1,"2010Q3","GOV"
"193","W;","138281;","Todarodes",1,"2016Q1","GOV"
"194","W;","140624;","Todarodes sagittatus",1,"2018Q3","GOV"
"195","W;","140625;","Todaropsis eblanae",6,"2018Q1","GOV"
"196","W;","127082;","Trachinus draco",2,"2016Q1","GOV"
"197","W;T;","126822;168588;","Trachurus trachurus",15,"2010Q3","GOV"
"198","W;","126180;","Trigla",1,"2018Q3","GOV"
"199","W;","126154;","Triglops",1,"2008Q1","GOV"
"200","W;","127205;","Triglops murrayi",1,"2011Q3","GOV"
"201","T;W;","164756;126444;","Trisopterus esmarkii",56,"2018Q3","GOV"
"202","T;W;","164755;126445;","Trisopterus luscus",1,"2018Q1","GOV"
"203","T;W;","164754;126446;","Trisopterus minutus",12,"2009Q3","GOV"
"204","W;","125617;","Zeidae",2,"2005Q1","GOV"
"205","W;","126125;","Zeugopterus",1,"2011Q3","GOV"
"206","W;","293018;","Zeugopterus norvegicus",1,"2016Q1","GOV"
"207","W;","127427;","Zeus faber",2,"2009Q3","GOV"
"208","T;","171671;","Ammodytes",2,"1991Q3","GRT"
"209","T;","161722;","Clupea harengus",2,"1991Q3","GRT"
"210","T;","167044;","Eutrigla gurnardus",2,"1991Q3","GRT"
"211","T;","164712;","Gadus morhua",2,"1991Q3","GRT"
"212","T;","171682;","Hyperoplus lanceolatus",2,"1991Q3","GRT"
"213","T;","164744;","Melanogrammus aeglefinus",2,"1991Q3","GRT"
"214","T;","164758;","Merlangius merlangus",2,"1991Q3","GRT"
"215","T;","172902;","Pleuronectes platessa",2,"1991Q3","GRT"
"216","T;","164727;","Pollachius virens",2,"1991Q3","GRT"
"217","T;","172414;","Scomber scombrus",2,"1991Q3","GRT"
"218","T;","161789;","Sprattus sprattus",2,"1991Q3","GRT"
"219","T;","164756;","Trisopterus esmarkii",2,"1991Q3","GRT"
"220","T;","161722;","Clupea harengus",1,NA,"H12"
"221","T;","164712;","Gadus morhua",1,NA,"H12"
"222","T;","164744;","Melanogrammus aeglefinus",1,NA,"H12"
"223","T;","164758;","Merlangius merlangus",1,NA,"H12"
"224","T;","161789;","Sprattus sprattus",1,NA,"H12"
"225","T;","164756;","Trisopterus esmarkii",1,NA,"H12"
"226","T;","161722;","Clupea harengus",1,NA,"H18"
"227","T;","164712;","Gadus morhua",1,NA,"H18"
"228","T;","164744;","Melanogrammus aeglefinus",1,NA,"H18"
"229","T;","164758;","Merlangius merlangus",1,NA,"H18"
"230","T;","161722;","Clupea harengus",1,NA,"HOB"
"231","T;","164712;","Gadus morhua",1,NA,"HOB"
"232","T;","164744;","Melanogrammus aeglefinus",1,NA,"HOB"
"233","T;","164758;","Merlangius merlangus",1,NA,"HOB"
"234","T;","164756;","Trisopterus esmarkii",1,NA,"HOB"
"235","T;","161722;","Clupea harengus",1,NA,"HT"
"236","T;","164712;","Gadus morhua",1,NA,"HT"
"237","T;","164744;","Melanogrammus aeglefinus",1,NA,"HT"
"238","T;","164758;","Merlangius merlangus",1,NA,"HT"
"239","T;","161789;","Sprattus sprattus",1,NA,"HT"
"240","T;","164756;","Trisopterus esmarkii",1,NA,"HT"
"241","T;","161722;","Clupea harengus",1,NA,"KAB"
"242","T;","164712;","Gadus morhua",1,NA,"KAB"
"243","T;","164744;","Melanogrammus aeglefinus",1,NA,"KAB"
"244","T;","161722;","Clupea harengus",1,NA,"SOV"
"245","T;","164712;","Gadus morhua",1,NA,"SOV"
"246","T;","164744;","Melanogrammus aeglefinus",1,NA,"SOV"
"247","T;","164758;","Merlangius merlangus",1,NA,"SOV"
"248","T;","161789;","Sprattus sprattus",1,NA,"SOV"
"249","T;","164756;","Trisopterus esmarkii",1,NA,"SOV"
"250","T;","161722;","Clupea harengus",1,NA,"VIN"
"251","T;","164744;","Melanogrammus aeglefinus",1,NA,"VIN"
"252","T;","164758;","Merlangius merlangus",1,NA,"VIN"
