"","spec_code_type","spec_code","spec_name","n","end_time","gear"
"98","W;","127138;","Hippoglossus hippoglossus",2,"2009Q3","BT8"
"99","W;","127137;","Hippoglossus platessoides",16,"2018Q3","BT8"
"100","W;","107253;","Homarus gammarus",1,"2004Q3","BT8"
"101","W;","127146;","Lepidorhombus whiffiagonis",4,"2006Q3","BT8"
"102","W;","105876;","Leucoraja naevus",1,"2010Q3","BT8"
"103","W;","127139;","Limanda limanda",17,"2018Q3","BT8"
"104","T;W;","164744;126437;","Melanogrammus aeglefinus",2,"2003Q3","BT8"
"105","T;W;","164758;126438;","Merlangius merlangus",4,"1999Q3","BT8"
"106","W;","126484;","Merluccius merluccius",14,"2018Q3","BT8"
"107","W;","274304;","Microchirus variegatus",16,"2018Q3","BT8"
"108","W;","127140;","Microstomus kitt",16,"2018Q3","BT8"
"109","W;","126461;","Molva molva",5,"2010Q3","BT8"
"110","W;","127156;","Pegusa lascaris",2,"2005Q3","BT8"
"111","W;","127147;","Phrynorhombus norvegicus",15,"2018Q3","BT8"
"112","W;","127141;","Platichthys flesus",6,"2018Q3","BT8"
"113","T;W;","172902;127143;","Pleuronectes platessa",32,"2018Q3","BT8"
"114","W;","126441;","Pollachius virens",1,"2009Q3","BT8"
"115","W;","105883;","Raja clavata",1,"2010Q3","BT8"
"116","W;","105887;","Raja montagui",1,"2010Q3","BT8"
"117","W;","127149;","Scophthalmus maximus",27,"2018Q3","BT8"
"118","W;","127150;","Scophthalmus rhombus",27,"2018Q3","BT8"
"119","W;","105814;","Scyliorhinus canicula",1,"2010Q3","BT8"
"120","W;","127160;","Solea solea",27,"2018Q3","BT8"
"121","T;","173001;","Solea vulgaris",5,"1991Q3","BT8"
"122","W;","126444;","Trisopterus esmarkii",2,"2001Q3","BT8"
